=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.02.08 23:16:23 =~=~=~=~=~=~=~=~=~=~=~=
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FD; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FE; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0x2D0; 8; FF; 74; 0; F9; F7; FC; FF; CF; 
0
